saved_as,samples_per_axis,gridargs,valid,seconds_taken,bytes_used,gctime,allocd,malloc,realloc,poolalloc,bigalloc,freecall,total_time,pause,full_sweep
OP 1 Samples 1.0 G.shield,"(1, 1, 1, 1)","((1.0, 1.0, 1, 1.0), [0.0, 3.0, 0.0, -1.0], [20.0, 27.0, 2.0, 3.0])",true,0.666698325,233081815,0.043917217,233081815,2,0,4895168,146,26,43917217,2,0
OP 1 Samples 0.5 G.shield,"(1, 1, 1, 1)","((0.5, 0.5, 1, 0.5), [0.0, 4.0, 0.0, -0.5], [20.0, 26.0, 2.0, 2.5])",true,2.995175378,1890898256,0.232525129,1890898256,43,0,38724029,0,79,232525129,15,0
OP 1 Samples 0.2 G.shield,"(1, 1, 1, 1)","((0.2, 0.2, 1, 0.2), [0.0, 4.0, 0.0, -0.2], [20.0, 26.0, 2.0, 2.2])",true,23.137269804,13401981009,1.565093519,13401981009,20,0,291418131,0,0,1565093519,78,0
OP 1 Samples 0.1 G.shield,"(1, 1, 1, 1)","((0.1, 0.1, 1, 0.1), [0.0, 4.0, 0.0, -0.1], [20.0, 26.0, 2.0, 2.1])",true,223.576676743,127781923728,15.007667197,127781923728,30,0,2681633180,0,111,15007667197,340,3
OP 32 Samples 1.0 G.shield,"(2, 2, 1, 2)","((1.0, 1.0, 1, 1.0), [0.0, 3.0, 0.0, -1.0], [20.0, 27.0, 2.0, 3.0])",false,1.7809139,848182533,0.091216316,848182533,2,0,28383324,145,14,91216316,2,0
OP 32 Samples 0.5 G.shield,"(2, 2, 1, 2)","((0.5, 0.5, 1, 0.5), [0.0, 4.0, 0.0, -0.5], [20.0, 26.0, 2.0, 2.5])",false,10.882421021,5744374528,0.563326313,5744374528,41,0,175037664,0,20,563326313,12,0
OP 32 Samples 0.2 G.shield,"(2, 2, 1, 2)","((0.2, 0.2, 1, 0.2), [0.0, 4.0, 0.0, -0.2], [20.0, 26.0, 2.0, 2.2])",false,187.157491971,104480470880,10.570599498,104480470880,108,0,2861117043,0,98,10570599498,384,2
OP 32 Samples 0.1 G.shield,"(2, 2, 1, 2)","((0.1, 0.1, 1, 0.1), [0.0, 4.0, 0.0, -0.1], [20.0, 26.0, 2.0, 2.1])",true,1935.029278845,1165344401312,100.45010953,1165344401312,72,0,26999945753,0,44,100450109530,903,3
OP 243 Samples 1.0 G.shield,"(3, 3, 1, 3)","((1.0, 1.0, 1, 1.0), [0.0, 3.0, 0.0, -1.0], [20.0, 27.0, 2.0, 3.0])",false,9.24155734,4522770176,0.31594922,4522770176,2,0,178032841,20,4,315949220,2,0
OP 243 Samples 0.5 G.shield,"(3, 3, 1, 3)","((0.5, 0.5, 1, 0.5), [0.0, 4.0, 0.0, -0.5], [20.0, 26.0, 2.0, 2.5])",false,52.737778071,25791094608,2.27327488,25791094608,41,0,996937190,0,20,2273274880,14,0
OP 243 Samples 0.2 G.shield,"(3, 3, 1, 3)","((0.2, 0.2, 1, 0.2), [0.0, 4.0, 0.0, -0.2], [20.0, 26.0, 2.0, 2.2])",false,759.220236095,375763104048,32.72356601,375763104048,108,0,14035438353,0,121,32723566010,185,0
OP 243 Samples 0.1 G.shield,"(3, 3, 1, 3)","((0.1, 0.1, 1, 0.1), [0.0, 4.0, 0.0, -0.1], [20.0, 26.0, 2.0, 2.1])",true,5851.921720197,3054502540672,309.318494466,3054502540672,72,0,103663311551,0,80,309318494466,3249,5
OP 1024 Samples 1.0 G.shield,"(4, 4, 1, 4)","((1.0, 1.0, 1, 1.0), [0.0, 3.0, 0.0, -1.0], [20.0, 27.0, 2.0, 3.0])",false,36.365249137,17777282816,1.499648907,17777282816,2,0,722871241,20,4,1499648907,8,0
OP 1024 Samples 0.5 G.shield,"(4, 4, 1, 4)","((0.5, 0.5, 1, 0.5), [0.0, 4.0, 0.0, -0.5], [20.0, 26.0, 2.0, 2.5])",false,200.952872425,97904430624,8.797635391,97904430624,41,0,3984424572,0,15,8797635391,48,0
OP 1024 Samples 0.2 G.shield,"(4, 4, 1, 4)","((0.2, 0.2, 1, 0.2), [0.0, 4.0, 0.0, -0.2], [20.0, 26.0, 2.0, 2.2])",false,2764.300589524,1342429300816,122.107502735,1342429300816,108,0,54507798687,0,126,122107502735,611,0
OP 1024 Samples 0.1 G.shield,"(4, 4, 1, 4)","((0.1, 0.1, 1, 0.1), [0.0, 4.0, 0.0, -0.1], [20.0, 26.0, 2.0, 2.1])",true,19382.878221868,9579393263808,953.840559165,9579393263808,72,0,377743919991,0,83,953840559165,6660,2
